order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
15,1,centralized,Peak,Central Road Only,4.6644,0.9329,2798.65,0.1119,road
15,1,centralized,Peak,Central Road + Metro,4.6644,0.9329,2798.65,0.1119,road
15,1,centralized,Peak,Central Road + Waterbus,4.6644,0.9329,2798.65,0.1119,road
15,1,centralized,Peak,Central Full Multimodal,4.6644,0.9329,2798.65,0.1119,road
16,2,nearest,Off-Peak,Road Only,1.282,0.641,1922.99,0.0769,road
16,2,nearest,Off-Peak,Road + Metro,1.282,0.641,1922.99,0.0769,road
16,2,nearest,Off-Peak,Road + Waterbus,1.282,0.641,1922.99,0.0769,road
16,2,nearest,Off-Peak,Full Multimodal,1.282,0.641,1922.99,0.0769,road
16,2,nearest,Peak,Road Only,3.205,0.641,1922.99,0.0769,road
16,2,nearest,Peak,Road + Metro,3.205,0.641,1922.99,0.0769,road
16,2,nearest,Peak,Road + Waterbus,3.205,0.641,1922.99,0.0769,road
16,2,nearest,Peak,Full Multimodal,3.205,0.641,1922.99,0.0769,road
16,1,centralized,Off-Peak,Central Road Only,3.0028,1.5014,4504.2,0.1802,road
16,1,centralized,Off-Peak,Central Road + Metro,3.0028,1.5014,4504.2,0.1802,road
16,1,centralized,Off-Peak,Central Road + Waterbus,3.0028,1.5014,4504.2,0.1802,road
16,1,centralized,Off-Peak,Central Full Multimodal,3.0028,1.5014,4504.2,0.1802,road
16,1,centralized,Peak,Central Road Only,7.507,1.5014,4504.2,0.1802,road
16,1,centralized,Peak,Central Road + Metro,7.507,1.5014,4504.2,0.1802,road
16,1,centralized,Peak,Central Road + Waterbus,7.507,1.5014,4504.2,0.1802,road
16,1,centralized,Peak,Central Full Multimodal,7.507,1.5014,4504.2,0.1802,road
17,1,nearest,Off-Peak,Road Only,0.8495,0.4247,1274.18,0.051,road
17,1,nearest,Off-Peak,Road + Metro,0.8495,0.4247,1274.18,0.051,road
17,1,nearest,Off-Peak,Road + Waterbus,0.8495,0.4247,1274.18,0.051,road
